0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg, Giao hàng nhanh sản phẩm tốt trong tầm giá Tuy nhiên rất không hài lòng là cung cấp không kích hoạt bảo hành cho mình và không ai hướng dẫn kích hoạt BH  phải gọi lên tông đai nhờ hỗ trơ đến nay vẫn chưa nhận được tin nhắn kích hoat BH thành công TIKI nên có chính sách hỗ trợ kích hoạt BH cho khách hàng sau khi giao hàng thành công khoảng 1 ngày Giao hàng nên giới thiệu luôn đơn vị lắp đặt trong trường hợp cần gắn vào tiên có trả phí chứa không đợi trong vòng 48 giờ nữa   Trong giao diện YOUTUBE khi mở ra thì hình không có màu nhưng chọn cụ thể vào thì vẫn có màu bình thường bạn nào biết xin chỉ giúp giùm
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,Mình đã nhận tivi sau 1 ngày đặt hàng Cảm ơn tiki giao hàng rất nhanh Hàng mới hiện tại sử dụng tốt   Tuy nhiên về vấn đề bảo hành nhờ tiki hỗ trợ giùm Mình có nhắn tin 14 số serial đầu  thông tin ghi sau máy lại có tận 15 số đến số 6060 nhưng thấy báo ko gửi đc
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,Giao hàng trễ hẹn 2 lần ko thấy ai đến lắp đặt Tiki bán hàng kiểu này thua điện máy xanh xa lắc Mua thử 1 lần cho biết và sẽ cảnh báo cho mọi người đừng dạj mua hàng để chuốt lấy bực mình Chưa được xem tivi nên chưa biết chất lương thế nào  Xin lỗi Tiki vì tôi nói sự thật hơi đụng chạm
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,Đặt tối hôm trước hôm sau giao luôn lên tận căn hộ dù mình ở tỉnh Nhân viên giao hàng nhẹ nhàng nhiệt tình TV chạy ổn mình chỉ cần đăng ký tài khoản SS và cài app SmartThings là tự cài đặt TV rất dễ Hệ thống tự động kích hoạt bảo hành cho mình Hiện nhà mình rất hài lòng với dv của Tiki và SS Sau một thời gian nếu có vấn đề sử dụng mình sẽ đánh giá lại 
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,mua sản phẩm trước tết tới giờ chưa ai gọi lắp máy hay hướng dẫn sử dụng hay kích hoạt bảo hành  Món hàng chục triệu mua giao xong quăng hàng đó vậy xài làm sao  Ai kích hoạt bảo hành tiki ơi Ai mở ra test cho khách  Khách hàng thân thiết mua nhiều đơn còn vậy khách hàng mới thì sao
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,Giao hàng khá nhanh sản phẩm tốt trong tầm giá Tuy nhiên rất không hài lòng là cửa hàng không kích hoạt bảo hành cho mình check series sản phẩm với 6060 thì hàng giao từ 41 mà hôm nay 131 vẫn chưa được kích hoạt Gửi email support Tiki phản hồi rất chậm mà vẫn ko xử lý được Mua tại Wholesale VN Ai quan tâm bảo hành thì nên cảnh giác khi mua TV trên Tiki
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,Mình không rõ chính sách giao hàng của Tiki có gồm lắp đặt không Mình đã mua TV của Tiki vài lần rồi và mình nhớ là nhân viên giao hàng có bóc ra và lắp đặt giúp chân TV cũng như để kiểm tra sản phảm Lần này giao đến nguyên 1 thùng bố mẹ mình nhận và bạn nhân viên có bảo là bác tự bóc ra  lắp đặt nếu có vấn đề gì gọi về công ty Thật sự 2 ông bà già thì rất lúng túng với 1 kiện hàng to như vậy sao mà biết kiểm tra với lắp đặt 
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,Dịch vụ giao hàng quá tệ hái độ giao hàng của người giao hàng ko thể chấp nhận được Nói khách hàng hủy đơn để khỏi phải giao đang nói chuyện thì tắt máy gọi lại ko nghe và phải gọi lại rất nhiều lần mới giao hàng Câu từ thiếu tôn trọng nói trống không và bất cần Tiki giao ko lắp bảo khách tự lắp sau yêu cầu thì hẹn lắp sau  chưa thấy liên hệ
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,Mình mua đợt 1111 nên mua được giá 7800k TV viền mỏng cài đặt vs đồng bộ đơn giản thao tác phản hồi nhanh hơn cả cái box 4k đang xài Cài app Fpt Play Youtube Galaxy Phim  nhiều app hỗ trợ tương đối tốt Tần số quét 100Hz nên cho trải nghiệm xem phim tương đối đã mắt Tổng quan là hài lòng so vs mức giá
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,TV giá rẻ chất lượng tốt nhưng dịch vụ chán chọn giao hàng 23hr mà đến chiều hôm sau mới giao giao không gọi trước nên m rất bị động bị tính 170k tiền phí lắp đặt mà có làm gì đâu Đến lúc nv lắp đặt gọi còn ko biết đã giao hay chưa nói chung dịch vụ Tiki đợt này chán
0,Smart Tivi Samsung 4K 50 inch UA50RU7100 ,9.490.000 ₫,277,Samsung,50 inch,UHD 4K 3840 x 2160,Smart Tivi,139kg,Xài rất ưng ý màu rất đẹp Tuy nhiên kết nối trực tiếp từ smart phone vào youtube của tv thì ko nhanh như những đời cũ hơn vd 2 thiết bị cùng kết nối thì thiết bị sau sẽ đá thiết bị đầu tuy nhiên trên tv này chỉ cho phép 1 thiết bị kết nối và khi thiết bị ban đầu dis thì thiết bị sau mới kết nối youtube được Bảo mật cao hơn nhưng mình thấy k tiện bằng vì mình xem youtube nhiều Bonus là mua tk Neflix coi 4k tuyệt vời ông mặt trời vì siêu nét Apple tv trade trực tiếp từ Apple device qua thì bị trễ tuỳ vào tốc độ mạng Chơi game live thì xác cmn định là lag nhé Hehe
